T [°C]	A_Igas	A_diff	P_vap [Pa]	MAC [m^2/mol]	lam [1E-09]
25.0	3.50E-02	3.50E-02	126.4780	68.6	520.0
30.0	4.40E-02	4.10E-02	151.5281	68.2	520.0
35.0	3.00E-03	5.20E-02	196.7945	67.7	700.0
40.0	5.60E-02	6.00E-02	232.4719	67.2	520.0
45.0	4.00E-03	7.60E-02	300.9575	66.8	700.0
50.0	6.40E-02	9.60E-02	389.0434	66.3	520.0
55.0	4.00E-03	1.11E-01	459.5641	65.9	700.0
60.0	8.10E-02	1.46E-01	618.3738	65.4	520.0
65.0	5.00E-03	1.88E-01	813.1862	65.0	700.0
70.0	1.02E-01	2.41E-01	1064.3995	64.6	520.0
75.0	6.00E-03	3.04E-01	1370.6958	64.2	700.0
80.0	1.18E-01	3.84E-01	1767.2822	63.8	520.0
